,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2019-01-02,558300,2288000,4628700,1536000,300300
2019-01-03,451700,2204400,5881200,1054200,169600
2019-01-04,485000,1742800,6096800,995400,344500
2019-01-07,445600,1426900,5668500,2560500,290600
2019-01-08,1686000,1273600,4442100,18799300,457200
2019-01-09,448400,1356900,4677000,1956100,199900
2019-01-10,489200,1530500,3325500,846700,218300
2019-01-11,426000,1032600,4522500,2167700,148200
2019-01-14,853800,972800,3471200,1009100,175200
2019-01-15,2339300,5383500,5823400,739800,1818600
2019-01-16,278400,1991100,3727900,951400,225600
2019-01-17,476500,1183500,5570000,907200,320800
2019-01-18,571400,1354600,4014200,941900,419000
2019-01-22,1331500,1658800,4072200,1669100,456700
2019-01-23,346300,1165900,3687500,982900,319400
2019-01-24,304700,1091200,3253200,646800,176300
2019-01-25,288200,1232000,5182900,722500,238800
2019-01-28,603700,869600,3352400,709000,279500
2019-01-29,182100,573600,7207800,441600,271000
2019-01-30,760300,1165600,4304500,994700,845300
2019-01-31,4174100,1346100,5829300,1253200,681600
2019-02-01,416400,1142000,3523200,1241100,695100
2019-02-04,297700,812000,3261100,623100,433200
2019-02-05,246300,1113000,8785100,2436900,408200
2019-02-06,338400,1010500,2857200,988600,608700
2019-02-07,887500,1400200,3377200,912400,350600
2019-02-08,517200,1154400,3161200,1047300,511700
2019-02-11,326800,827500,2460900,494400,123200
2019-02-12,922900,1922500,5800500,1099500,220100
2019-02-13,460000,1002100,5598500,903200,206700
2019-02-14,407000,696200,9489500,933400,276400
2019-02-15,230100,988600,2828200,1518900,187900
2019-02-19,195000,782800,3672300,1130500,216800
2019-02-20,176900,835600,3234500,1082800,151000
2019-02-21,363000,859900,2506500,642800,140100
2019-02-22,210200,724800,2113900,820600,115700
2019-02-25,454700,1683500,3908400,1406200,172400
2019-02-26,251000,938100,5048800,1152800,269600
2019-02-27,577400,760300,2666000,760800,443000
2019-02-28,399900,1037100,3478300,550400,125800
