iShares U.S. Equity Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 28, 2015"
Shares Outstanding,"39,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","142,096,934.40","6.28","142,096,934.40","678,980.00","209.28","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","123,124,364.05","5.44","123,124,364.05","314,213.00","391.85","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","120,979,697.09","5.35","120,979,697.09","1,089,809.00","111.01","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","66,904,160.91","2.96","66,904,160.91","354,009.00","188.99","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","50,717,152.71","2.24","50,717,152.71","92,673.00","547.27","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","45,471,891.81","2.01","45,471,891.81","236,451.00","192.31","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","38,041,546.05","1.68","38,041,546.05","232,173.00","163.85","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","37,492,330.55","1.66","37,492,330.55","153,941.00","243.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","33,994,282.08","1.50","33,994,282.08","101,424.00","335.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","29,737,350.26","1.31","29,737,350.26","33,619.00","884.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","29,597,086.20","1.31","29,597,086.20","183,810.00","161.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","28,145,308.74","1.24","28,145,308.74","295,986.00","95.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","25,251,818.36","1.12","25,251,818.36","5,219.00","4,838.44","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","24,007,819.80","1.06","24,007,819.80","155,310.00","154.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","23,494,982.35","1.04","23,494,982.35","82,453.00","284.95","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","22,813,374.78","1.01","22,813,374.78","122,613.00","186.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","21,889,991.20","0.97","21,889,991.20","48,818.00","448.40","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","21,164,418.66","0.94","21,164,418.66","194,938.00","108.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","19,381,538.82","0.86","19,381,538.82","722,922.00","26.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","18,642,992.08","0.82","18,642,992.08","34,946.00","533.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","16,945,375.77","0.75","16,945,375.77","235,647.00","71.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","16,939,926.90","0.75","16,939,926.90","127,005.00","133.38","United States","NASDAQ","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","15,713,326.20","0.69","15,713,326.20","199,788.00","78.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","14,720,219.68","0.65","14,720,219.68","35,162.00","418.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","14,655,026.96","0.65","14,655,026.96","27,601.00","530.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","14,367,419.25","0.64","14,367,419.25","111,505.00","128.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","14,271,078.30","0.63","14,271,078.30","244,955.00","58.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","13,829,212.80","0.61","13,829,212.80","100,620.00","137.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
