Ticker,Name,Weight,Quantity,Price,Avg Volume,New Weight
AAPL,APPLE INC,6.28,"678,980.00",209.28,77028680.66666667,6.6001050972149224
MSFT,MICROSOFT CORP,5.44,"314,213.00",391.85,26713600.714285713,5.717288491854966
NVDA,NVIDIA CORP,5.35,"1,089,809.00",111.01,326944383.14285713,5.62270099842354
AMZN,AMAZON COM INC,2.96,"354,009.00",188.99,62900425.666666664,3.110877561744613
META,META PLATFORMS INC CLASS A,2.24,"92,673.00",547.27,21088777.57142857,2.3541776142932207
AVGO,BROADCOM INC,2.01,"236,451.00",192.31,34375250.47619048,2.11245401996847
GOOG,ALPHABET INC CLASS C,1.68,"232,173.00",163.85,26201135.714285713,1.7656332107199155
JPM,JPMORGAN CHASE & CO,1.66,"153,941.00",243.55,13659989.666666666,1.7446137677351548
V,VISA INC CLASS A,1.5,"101,424.00",335.17,7503200.666666667,1.5764582238570677
LLY,ELI LILLY,1.31,"33,619.00",884.54,3957106.3333333335,1.376773515501839
PG,PROCTER & GAMBLE,1.31,"183,810.00",161.02,9932995.761904761,1.376773515501839
WMT,WALMART INC,1.24,"295,986.00",95.09,24588556.523809522,1.3032054650551759
JNJ,JOHNSON & JOHNSON,1.06,"155,310.00",154.58,11346198.333333334,1.1140304781923278
TSLA,TESLA INC,1.04,"82,453.00",284.95,140945308.0,1.0930110352075668
ABBV,ABBVIE INC,1.01,"122,613.00",186.06,9795356.38095238,1.0614818707304254
LIN,LINDE PLC,0.97,"48,818.00",448.40,2442451.1428571427,1.0194429847609037
XOM,EXXON MOBIL CORP,0.94,"194,938.00",108.57,18924859.38095238,0.9879138202837623
T,AT&T INC,0.86,"722,922.00",26.81,43206095.190476194,0.9038360483447188
MA,MASTERCARD INC CLASS A,0.82,"34,946.00",533.48,3308232.761904762,0.8617971623751969
KO,COCA-COLA,0.75,"235,647.00",71.91,19444534.285714287,0.7882291119285338
PEP,PEPSICO INC,0.75,"127,005.00",133.38,9061229.904761905,0.7882291119285338
BK,BANK OF NEW YORK MELLON CORP,0.69,"199,788.00",78.65,4466663.80952381,0.725170782974251
UNH,UNITEDHEALTH GROUP INC,0.65,"35,162.00",418.64,8541023.80952381,0.6831318970047293
ABT,ABBOTT LABORATORIES,0.64,"111,505.00",128.85,7751512.333333333,0.6726221755123488
MO,ALTRIA GROUP INC,0.63,"244,955.00",58.26,11687162.476190476,0.6621124540199683
MPC,MARATHON PETROLEUM CORP,0.61,"100,620.00",137.44,3059358.1904761903,0.6410930110352074
MCD,MCDONALDS CORP,0.6,"42,795.00",316.74,4283437.714285715,0.6305832895428269
ED,CONSOLIDATED EDISON INC,0.6,"122,032.00",110.45,2891258.8095238097,0.6305832895428269
COST,COSTCO WHOLESALE CORP,0.59,"13,644.00",977.16,2815383.523809524,0.6200735680504466
WFC,WELLS FARGO,0.59,"191,180.00",69.73,22936752.0,0.6200735680504466
PM,PHILIP MORRIS INTERNATIONAL INC,0.58,"76,980.00",170.24,7766943.857142857,0.6095638465580661
NFLX,NETFLIX INC,0.57,"11,708.00","1,101.53",5852656.80952381,0.5990541250656856
BMY,BRISTOL MYERS SQUIBB,0.55,"261,614.00",47.90,15795690.714285715,0.5780346820809248
QCOM,QUALCOMM INC,0.55,"83,169.00",148.56,10354665.0,0.5780346820809248
GE,GE AEROSPACE,0.52,"59,382.00",198.43,8146769.80952381,0.5465055176037834
GS,GOLDMAN SACHS GROUP INC,0.52,"21,411.00",544.86,3538599.238095238,0.5465055176037834
MRK,MERCK & CO INC,0.51,"140,113.00",82.74,17350196.57142857,0.535995796111403
CVX,CHEVRON CORP,0.51,"83,012.00",138.73,11313020.42857143,0.535995796111403
MCK,MCKESSON CORP,0.51,"16,499.00",695.00,1183667.619047619,0.535995796111403
FTNT,FORTINET INC,0.49,"108,595.00",101.80,5612546.619047619,0.514976353126642
