iShares MSCI USA Momentum Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 16, 2013"
Shares Outstanding,"68,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WMT","WALMART INC","Consumer Staples","Equity","732,554,817.45","5.14","732,554,817.45","7,703,805.00","95.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","697,508,690.20","4.90","697,508,690.20","2,863,924.00","243.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","673,497,504.95","4.73","673,497,504.95","3,502,145.00","192.31","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","579,585,450.50","4.07","579,585,450.50","2,033,990.00","284.95","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","574,630,276.83","4.03","574,630,276.83","5,176,383.00","111.01","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","549,934,657.63","3.86","549,934,657.63","1,004,869.00","547.27","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","546,527,531.66","3.84","546,527,531.66","1,630,598.00","335.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","480,981,972.97","3.38","480,981,972.97","436,649.00","1,101.53","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","474,385,160.64","3.33","474,385,160.64","4,206,288.00","112.78","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","454,225,008.72","3.19","454,225,008.72","464,842.00","977.16","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","288,836,844.80","2.03","288,836,844.80","1,696,645.00","170.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","264,024,179.64","1.85","264,024,179.64","708,942.00","372.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","260,925,528.50","1.83","260,925,528.50","1,314,950.00","198.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","249,464,252.84","1.75","249,464,252.84","1,801,316.00","138.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","231,833,571.12","1.63","231,833,571.12","425,492.00","544.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","226,235,730.60","1.59","226,235,730.60","2,220,174.00","101.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","222,352,193.49","1.56","222,352,193.49","8,293,629.00","26.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","213,738,044.04","1.50","213,738,044.04","415,356.00","514.59","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","207,418,021.24","1.46","207,418,021.24","2,974,588.00","69.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","195,041,232.45","1.37","195,041,232.45","1,681,245.00","116.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","195,033,889.05","1.37","195,033,889.05","736,505.00","264.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","191,218,813.65","1.34","191,218,813.65","822,765.00","232.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","185,745,571.83","1.30","185,745,571.83","797,979.00","232.77","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","180,720,625.53","1.27","180,720,625.53","490,143.00","368.71","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","174,686,032.26","1.23","174,686,032.26","1,395,033.00","125.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","171,665,262.69","1.20","171,665,262.69","647,769.00","265.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","170,337,280.20","1.20","170,337,280.20","35,205.00","4,838.44","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","165,008,809.10","1.16","165,008,809.10","929,470.00","177.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","148,860,349.56","1.04","148,860,349.56","537,732.00","276.83","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","146,657,288.68","1.03","146,657,288.68","161,572.00","907.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","140,601,578.88","0.99","140,601,578.88","1,110,948.00","126.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","135,966,510.24","0.95","135,966,510.24","925,194.00","146.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","127,245,452.67","0.89","127,245,452.67","570,633.00","222.99","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","124,059,252.88","0.87","124,059,252.88","913,813.00","135.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
