iShares MSCI USA Quality Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Jul 16, 2013"
Shares Outstanding,"283,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","2,912,105,877.12","6.12","2,912,105,877.12","13,914,879.00","209.28","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,886,822,037.85","6.06","2,886,822,037.85","7,367,161.00","391.85","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","2,569,109,555.98","5.39","2,569,109,555.98","7,665,094.00","335.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,375,078,931.80","4.99","2,375,078,931.80","21,395,180.00","111.01","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","2,251,521,931.64","4.73","2,251,521,931.64","4,220,443.00","533.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","1,844,815,199.34","3.87","1,844,815,199.34","2,085,621.00","884.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","1,725,199,171.71","3.62","1,725,199,171.71","3,152,373.00","547.27","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","1,189,302,924.32","2.50","1,189,302,924.32","9,397,147.00","126.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,178,107,264.07","2.47","1,178,107,264.07","1,069,519.00","1,101.53","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","975,195,908.40","2.05","975,195,908.40","997,990.00","977.16","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","887,332,357.48","1.86","887,332,357.48","5,478,713.00","161.96","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","873,212,708.48","1.83","873,212,708.48","2,085,832.00","418.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","839,886,302.64","1.76","839,886,302.64","2,878,689.00","291.76","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","830,009,581.00","1.74","830,009,581.00","5,369,450.00","154.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","770,135,962.50","1.62","770,135,962.50","4,700,250.00","163.85","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","766,129,013.61","1.61","766,129,013.61","2,611,299.00","293.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","754,803,032.04","1.58","754,803,032.04","2,052,657.00","367.72","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","752,300,253.84","1.58","752,300,253.84","4,672,092.00","161.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","667,843,220.72","1.40","667,843,220.72","7,281,326.00","91.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","656,691,740.42","1.38","656,691,740.42","11,396,941.00","57.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","640,886,238.00","1.35","640,886,238.00","12,377,100.00","51.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","611,741,174.49","1.28","611,741,174.49","8,507,039.00","71.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","580,575,599.76","1.22","580,575,599.76","3,908,021.00","148.56","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","564,333,465.36","1.19","564,333,465.36","6,820,564.00","82.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","561,345,746.50","1.18","561,345,746.50","3,704,030.00","151.55","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","537,942,103.72","1.13","537,942,103.72","774,452.00","694.61","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","521,963,205.66","1.10","521,963,205.66","3,204,981.00","162.86","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","510,642,058.16","1.07","510,642,058.16","1,069,094.00","477.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","510,037,912.35","1.07","510,037,912.35","1,664,343.00","306.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","467,368,216.80","0.98","467,368,216.80","1,042,302.00","448.40","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","428,163,726.83","0.90","428,163,726.83","471,707.00","907.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","415,964,935.36","0.87","415,964,935.36","5,824,208.00","71.42","United States","NASDAQ","USD","1.00","USD","-"
