Ticker,Name,Weight,Quantity,Price,Avg Volume,New Weight
AAPL,APPLE INC,6.12,"13,914,879.00",209.28,79057119.85,6.251915415262027
MSFT,MICROSOFT CORP,6.06,"7,367,161.00",391.85,27332618.1,6.190622126877105
V,VISA INC CLASS A,5.39,"7,665,094.00",335.17,7581165.8,5.506180406578811
NVDA,NVIDIA CORP,4.99,"21,395,180.00",111.01,335022420.45,5.097558484012666
MA,MASTERCARD INC CLASS A,4.73,"4,220,443.00",533.48,3395178.85,4.831954234344671
LLY,ELI LILLY,3.87,"2,085,621.00",884.54,4038141.85,3.9534171008274583
META,META PLATFORMS INC CLASS A,3.62,"3,152,373.00",547.27,21564337.85,3.698028399223617
TJX,TJX INC,2.5,"9,397,147.00",126.56,7093424.0,2.5538870160384097
NFLX,NETFLIX INC,2.47,"1,069,519.00","1,101.53",5964130.85,2.523240371845949
COST,COSTCO WHOLESALE CORP,2.05,"997,990.00",977.16,2879277.85,2.094187353151496
GOOGL,ALPHABET INC CLASS A,1.86,"5,478,713.00",161.96,41761379.25,1.9000919399325769
UNH,UNITEDHEALTH GROUP INC,1.83,"2,085,832.00",418.64,8474410.2,1.8694452957401158
ADP,AUTOMATIC DATA PROCESSING INC,1.76,"2,878,689.00",291.76,2166014.75,1.7979364592910405
JNJ,JOHNSON & JOHNSON,1.74,"5,369,450.00",154.58,11720417.1,1.7775053631627333
GOOG,ALPHABET INC CLASS C,1.62,"4,700,250.00",163.85,26712879.75,1.6549187863928898
ACN,ACCENTURE PLC CLASS A,1.61,"2,611,299.00",293.39,3850314.65,1.644703238328736
ADBE,ADOBE INC,1.58,"2,052,657.00",367.72,4404449.65,1.614056594136275
PG,PROCTER & GAMBLE,1.58,"4,672,092.00",161.02,10143703.8,1.614056594136275
COP,CONOCOPHILLIPS,1.4,"7,281,326.00",91.72,8945885.7,1.4301767289815093
NKE,NIKE INC CLASS B,1.38,"11,396,941.00",57.62,28071786.05,1.409745632853202
CMG,CHIPOTLE MEXICAN GRILL INC,1.35,"12,377,100.00",51.78,16248562.05,1.3790989886607412
KO,COCA-COLA,1.28,"8,507,039.00",71.91,19602253.35,1.3075901522116657
QCOM,QUALCOMM INC,1.22,"3,908,021.00",148.56,10554432.6,1.2462968638267438
MRK,MERCK & CO INC,1.19,"6,820,564.00",82.74,17525642.8,1.215650219634283
AMAT,APPLIED MATERIAL INC,1.18,"3,704,030.00",151.55,9852708.7,1.2054346715701294
KLAC,KLA CORP,1.13,"774,452.00",694.61,1538932.6,1.1543569312493611
TXN,TEXAS INSTRUMENT INC,1.1,"3,204,981.00",162.86,11763063.0,1.1237102870569002
LMT,LOCKHEED MARTIN CORP,1.07,"1,069,094.00",477.64,1702972.35,1.0930636428644396
CAT,CATERPILLAR INC,1.07,"1,664,343.00",306.45,3595211.65,1.0930636428644396
LIN,LINDE PLC,0.98,"1,042,302.00",448.40,2503829.65,1.0011237102870565
BLK,BLACKROCK INC,0.9,"471,707.00",907.69,950246.85,0.9193993257738274
LRCX,LAM RESEARCH CORP,0.87,"5,824,208.00",71.42,16000267.35,0.8887526815813667
SLB,SCHLUMBERGER NV,0.77,"10,583,645.00",34.52,22910318.8,0.7865972009398302
ITW,ILLINOIS TOOL INC,0.72,"1,435,962.00",239.50,1358096.55,0.735519460619062
ANET,ARISTA NETWORKS INC,0.71,"4,337,760.00",77.91,12509672.15,0.7253039125549083
LULU,LULULEMON ATHLETICA INC,0.71,"1,254,206.00",267.90,3094925.5,0.7253039125549083
MMC,MARSH & MCLENNAN INC,0.7,"1,526,232.00",219.24,2820302.85,0.7150883644907546
PEP,PEPSICO INC,0.68,"2,419,467.00",133.38,9164051.0,0.6946572683624475
DHI,D R HORTON INC,0.67,"2,568,554.00",124.56,4277084.6,0.6844417202982939
APH,AMPHENOL CORP CLASS A,0.65,"4,057,762.00",75.85,10020098.05,0.6640106241699866
CME,CME GROUP INC CLASS A,0.63,"1,129,473.00",266.30,3127764.55,0.6435795280416793
SRE,SEMPRA,0.63,"4,007,971.00",74.68,5086920.15,0.6435795280416793
MMM,3M,0.63,"2,172,217.00",137.32,4957767.3,0.6435795280416793
CDNS,CADENCE DESIGN SYSTEMS INC,0.61,"1,004,752.00",289.63,2403140.25,0.6231484319133719
GRMN,GARMIN LTD,0.6,"1,446,792.00",198.96,1138602.4,0.6129328838492183
CTAS,CINTAS CORP,0.58,"1,332,071.00",208.40,2353208.45,0.592501787720911
PSA,PUBLIC STORAGE REIT,0.54,"890,582.00",290.91,982276.55,0.5516395954642965
VRTX,VERTEX PHARMACEUTICALS INC,0.53,"515,057.00",493.84,1721746.15,0.5414240474001429
TT,TRANE TECHNOLOGIES PLC,0.52,"707,563.00",347.97,1613345.85,0.5312084993359892
SNPS,SYNOPSYS INC,0.51,"544,420.00",446.62,1454794.15,0.5209929512718356
SPG,SIMON PROPERTY GROUP REIT INC,0.51,"1,539,349.00",156.66,2121319.35,0.5209929512718356
MCO,MOODYS CORP,0.49,"532,239.00",438.62,1147395.65,0.5005618551435282
ED,CONSOLIDATED EDISON INC,0.48,"2,086,078.00",110.45,2914563.35,0.4903463070793746
APP,APPLOVIN CORP CLASS A,0.47,"815,838.00",276.83,8675590.6,0.48013075901522106
TSCO,TRACTOR SUPPLY,0.47,"4,466,177.00",49.92,6376196.7,0.48013075901522106
