Ticker,Name,Weight,Quantity,Price,Avg Volume,New Weight
RSG,REPUBLIC SERVICES INC,1.74,"1,675,250.00",243.56,1753914.45,1.859570375120231
WMT,WALMART INC,1.71,"4,206,526.00",95.09,25173889.35,1.827508816928503
WCN,WASTE CONNECTIONS INC,1.59,"1,916,837.00",194.47,1611040.3,1.6992625841615907
DUK,DUKE ENERGY CORP,1.59,"3,098,585.00",119.85,4493796.75,1.6992625841615907
PGR,PROGRESSIVE CORP,1.56,"1,375,993.00",265.01,3723488.65,1.6672010259698624
MCK,MCKESSON CORP,1.54,"518,846.00",695.00,1219587.2,1.6458266538420436
IBM,INTERNATIONAL BUSINESS MACHINES CO,1.5,"1,506,295.00",232.41,5948715.2,1.603077909586406
TMUS,T MOBILE US INC,1.49,"1,492,981.00",232.77,5351241.0,1.5923907235224966
WM,WASTE MANAGEMENT INC,1.48,"1,511,477.00",228.31,2073816.65,1.5817035374585873
CSCO,CISCO SYSTEMS INC,1.47,"6,071,559.00",56.71,26980463.65,1.571016351394678
CB,CHUBB LTD,1.46,"1,221,366.00",279.11,2022745.0,1.5603291653307685
MSFT,MICROSOFT CORP,1.42,"845,925.00",391.85,27332618.1,1.517580421075131
SO,SOUTHERN,1.4,"3,612,325.00",90.43,4791278.0,1.4962060489473121
MCD,MCDONALDS CORP,1.37,"1,010,681.00",316.74,4350177.95,1.4641444907555843
VZ,VERIZON COMMUNICATIONS INC,1.36,"7,595,391.00",41.91,27238506.65,1.4534573046916748
MSI,MOTOROLA SOLUTIONS INC,1.33,"723,596.00",430.22,973302.75,1.4213957464999467
ROP,ROPER TECHNOLOGIES INC,1.33,"558,168.00",557.70,727704.15,1.4213957464999467
APH,AMPHENOL CORP CLASS A,1.32,"4,080,350.00",75.85,10020098.05,1.4107085604360374
ED,CONSOLIDATED EDISON INC,1.3,"2,744,700.00",110.45,2914563.35,1.3893341883082186
MRK,MERCK & CO INC,1.29,"3,651,395.00",82.74,17525642.8,1.3786470022443094
MA,MASTERCARD INC CLASS A,1.24,"544,602.00",533.48,3395178.85,1.3252110719247623
PG,PROCTER & GAMBLE,1.23,"1,790,099.00",161.02,10143703.8,1.314523885860853
JNJ,JOHNSON & JOHNSON,1.2,"1,815,253.00",154.58,11720417.1,1.282462327669125
ABBV,ABBVIE INC,1.17,"1,473,441.00",186.06,9904873.5,1.2504007694773966
MMC,MARSH & MCLENNAN INC,1.11,"1,185,944.00",219.24,2820302.85,1.1862776530939405
ACN,ACCENTURE PLC CLASS A,1.08,"857,415.00",293.39,3850314.65,1.1542160949022124
NOC,NORTHROP GRUMMAN CORP,1.07,"531,277.00",473.20,1469031.95,1.143528908838303
YUM,YUM BRANDS INC,1.02,"1,616,619.00",147.30,2798098.9,1.090092978518756
AJG,ARTHUR J GALLAGHER,1.01,"734,781.00",322.30,1527026.05,1.0794057924548466
GDDY,GODADDY INC CLASS A,1.01,"1,285,519.00",183.40,1765198.8,1.0794057924548466
LLY,ELI LILLY,0.99,"260,715.00",884.54,4038141.85,1.058031420327028
UNH,UNITEDHEALTH GROUP INC,0.98,"547,794.00",418.64,8474410.2,1.0473442342631185
V,VISA INC CLASS A,0.97,"676,520.00",335.17,7581165.8,1.0366570481992092
T,AT&T INC,0.95,"8,290,832.00",26.81,44425151.65,1.0152826760713904
