iShares MSCI USA Value Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 16, 2013"
Shares Outstanding,"61,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","402,681,547.65","6.46","402,681,547.65","7,100,715.00","56.71","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","344,904,885.85","5.53","344,904,885.85","12,864,785.00","26.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","287,301,291.03","4.61","287,301,291.03","1,236,183.00","232.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","238,186,581.50","3.82","238,186,581.50","11,879,630.00","20.05","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","211,811,506.55","3.40","211,811,506.55","4,496,105.00","47.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","199,818,372.27","3.21","199,818,372.27","4,767,797.00","41.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","154,360,040.10","2.48","154,360,040.10","1,018,542.00","151.55","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","137,701,319.49","2.21","137,701,319.49","3,469,421.00","39.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","135,848,224.88","2.18","135,848,224.88","2,079,734.00","65.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","132,791,306.04","2.13","132,791,306.04","5,793,687.00","22.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","124,569,766.71","2.00","124,569,766.71","1,820,397.00","68.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","123,194,474.64","1.98","123,194,474.64","12,270,366.00","10.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","116,097,723.00","1.86","116,097,723.00","927,150.00","125.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","114,009,595.95","1.83","114,009,595.95","1,635,015.00","69.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","105,346,301.44","1.69","105,346,301.44","314,129.00","335.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","92,304,784.90","1.48","92,304,784.90","1,927,031.00","47.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","87,165,154.82","1.40","87,165,154.82","1,092,569.00","79.78","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","85,557,606.96","1.37","85,557,606.96","202,897.00","421.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","80,568,320.00","1.29","80,568,320.00","1,150,976.00","70.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","79,447,126.32","1.27","79,447,126.32","145,812.00","544.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","77,639,742.72","1.25","77,639,742.72","623,312.00","124.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","76,323,176.72","1.22","76,323,176.72","4,699,703.00","16.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","73,423,399.80","1.18","73,423,399.80","2,165,882.00","33.90","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","70,843,443.23","1.14","70,843,443.23","981,619.00","72.17","United States","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","70,803,956.58","1.14","70,803,956.58","490,434.00","144.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","67,939,146.80","1.09","67,939,146.80","351,016.00","193.55","United States","NASDAQ","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","67,650,413.88","1.09","67,650,413.88","2,294,012.00","29.49","United States","NASDAQ","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","67,248,341.58","1.08","67,248,341.58","429,263.00","156.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP CLASS A","Consumer Discretionary","Equity","66,995,907.95","1.08","66,995,907.95","622,465.00","107.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","63,788,409.40","1.02","63,788,409.40","1,443,830.00","44.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","56,356,833.72","0.90","56,356,833.72","266,387.00","211.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","54,539,339.25","0.88","54,539,339.25","1,130,349.00","48.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","54,261,952.64","0.87","54,261,952.64","2,146,438.00","25.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","49,999,545.72","0.80","49,999,545.72","490,769.00","101.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","49,589,227.89","0.80","49,589,227.89","859,581.00","57.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","45,395,773.47","0.73","45,395,773.47","494,023.00","91.89","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","44,085,229.77","0.71","44,085,229.77","464,593.00","94.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","40,490,577.82","0.65","40,490,577.82","355,586.00","113.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","40,239,886.95","0.65","40,239,886.95","220,215.00","182.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZM","ZOOM COMMUNICATIONS INC CLASS A","Information Technology","Equity","37,292,182.79","0.60","37,292,182.79","490,493.00","76.03","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","35,004,323.53","0.56","35,004,323.53","431,779.00","81.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSN","TYSON FOODS INC CLASS A","Consumer Staples","Equity","34,898,206.56","0.56","34,898,206.56","575,688.00","60.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","33,721,380.88","0.54","33,721,380.88","114,988.00","293.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","33,241,824.00","0.53","33,241,824.00","52,465.00","633.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
