Ticker,Name,Weight,Quantity,Price,Avg Volume,New Weight
CSCO,CISCO SYSTEMS INC,6.46,"7,100,715.00",56.71,26038108.714285713,6.514723678902783
T,AT&T INC,5.53,"12,864,785.00",26.81,43198053.333333336,5.576845502218637
IBM,INTERNATIONAL BUSINESS MACHINES CO,4.61,"1,236,183.00",232.41,5708060.428571428,4.649052037111739
INTC,INTEL CORPORATION CORP,3.82,"11,879,630.00",20.05,112919051.33333333,3.852359822509076
GM,GENERAL MOTORS,3.4,"4,496,105.00",47.11,14188220.904761905,3.4288019362646223
VZ,VERIZON COMMUNICATIONS INC,3.21,"4,767,797.00",41.91,26611302.476190478,3.2371924162968932
AMAT,APPLIED MATERIAL INC,2.48,"1,018,542.00",151.55,9501719.857142856,2.5010084711577245
BAC,BANK OF AMERICA CORP,2.21,"3,469,421.00",39.69,63550649.71428572,2.2287212585720044
CVS,CVS HEALTH CORP,2.18,"2,079,734.00",65.32,10931639.095238095,2.198467123840258
PFE,PFIZER INC,2.13,"5,793,687.00",22.92,53361018.14285714,2.1480435659540134
C,CITIGROUP INC,2.0,"1,820,397.00",68.43,22204020.95238095,2.0169423154497776
F,FORD MOTOR CO,1.98,"12,270,366.00",10.04,147864281.19047618,1.99677289229528
RTX,RTX CORP,1.86,"927,150.00",125.22,6269637.428571428,1.8757563533682937
WFC,WELLS FARGO,1.83,"1,635,015.00",69.73,21955863.76190476,1.845502218636547
CI,CIGNA,1.69,"314,129.00",335.36,1842941.380952381,1.7043162565550625
BMY,BRISTOL MYERS SQUIBB,1.48,"1,927,031.00",47.90,14899282.57142857,1.4925373134328357
MU,MICRON TECHNOLOGY INC,1.4,"1,092,569.00",79.78,29167872.23809524,1.4118596208148446
ELV,ELEVANCE HEALTH INC,1.37,"202,897.00",421.68,1909784.3333333333,1.381605486083098
KR,KROGER,1.29,"1,150,976.00",70.00,9664058.476190476,1.300927793465107
GS,GOLDMAN SACHS GROUP INC,1.27,"145,812.00",544.86,3565494.0,1.280758370310609
DHI,D R HORTON INC,1.25,"623,312.00",124.56,4127712.523809524,1.2605889471561111
HPE,HEWLETT PACKARD ENTERPRISE,1.22,"4,699,703.00",16.24,25180248.285714287,1.2303348124243645
CMCSA,COMCAST CORP CLASS A,1.18,"2,165,882.00",33.90,27417204.61904762,1.189995966115369
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,1.14,"981,619.00",72.17,3995933.5714285714,1.1496571198063732
TEL,TE CONNECTIVITY PLC,1.14,"490,434.00",144.37,2385928.9523809524,1.1496571198063732
NXPI,NXP SEMICONDUCTORS NV,1.09,"351,016.00",193.55,4088925.8095238097,1.099233561920129
KHC,KRAFT HEINZ,1.09,"2,294,012.00",29.49,10433966.904761905,1.099233561920129
SPG,SIMON PROPERTY GROUP REIT INC,1.08,"429,263.00",156.66,2027617.0476190476,1.0891488503428801
LEN,LENNAR A CORP CLASS A,1.08,"622,465.00",107.63,3226305.1904761903,1.0891488503428801
